Fatigue,Yorgunluk/Bitkinlik,Driver fatigue is a major cause of road accidents.,Sürücü yorgunluğu trafik kazalarının önemli bir nedenidir.
Faulty,Arızalı/Kusurlu,The machine stopped working because of a faulty connection.,Makine arızalı bir bağlantı nedeniyle çalışmayı durdurdu.
Favorable,Olumlu/Elverişli,We received a favorable response to our application.,Başvurumuza olumlu bir yanıt aldık.
Feasible,Mümkün/Uygulanabilir,It is not feasible to finish the project by Friday.,Projeyi Cuma gününe kadar bitirmek mümkün değil.
Feast,Ziyafet,We prepared a grand feast for the wedding guests.,Düğün misafirleri için büyük bir ziyafet hazırladık.
Feat,Ustalık/Başarı,Climbing Mount Everest is a remarkable feat.,Everest Dağı'na tırmanmak dikkate değer bir başarıdır.
Federation,Federasyon,The Russian Federation spans two continents.,Rusya Federasyonu iki kıtaya yayılmıştır.
Feeble,Cılız/Güçsüz,His excuse for being late was rather feeble.,Geç kalma bahanesi oldukça cılızdı (zayıftı).
Feminine,Kadınsı,She wore a dress with a very feminine design.,Çok kadınsı bir tasarıma sahip bir elbise giydi.
Ferocious,Vahşi/Yırtıcı,The lion is known as a ferocious predator.,Aslan vahşi bir yırtıcı olarak bilinir.
Fertile,Verimli/Doğurgan,The nile valley provides fertile land for farming.,Nil vadisi tarım için verimli topraklar sağlar.
Fiber,Lif/Elyaf,Fruits and vegetables are good sources of fiber.,Meyve ve sebzeler iyi lif kaynaklarıdır.
Fictional,Kurgusal,Sherlock Holmes is a famous fictional detective.,Sherlock Holmes ünlü bir kurgusal dedektiftir.
Fidelity,Sadakat/Vefa,Fidelity is important in a marriage.,Evlilikte sadakat önemlidir.
Filthy,Pis/Çok kirli,The streets were filthy after the festival.,Festivalden sonra sokaklar çok pisti.
Finalize,Sonuçlandırmak,We need to finalize the contract details today.,Sözleşme detaylarını bugün sonuçlandırmamız gerekiyor.
Finite,Sınırlı/Sonlu,Natural resources like oil and gas are finite.,Petrol ve gaz gibi doğal kaynaklar sınırlıdır.
Fiscal,Mali,The government announced new fiscal policies.,Hükümet yeni mali politikalar duyurdu.
Flatter,Pohpohlamak/Yaltaklanmak,He tried to flatter the boss to get a promotion.,Terfi almak için patronu pohpohlamaya çalıştı.
Flaw,Kusur/Hata,There is a flaw in your argument.,Argümanınızda bir kusur (hata) var.
Flee,Kaçmak/Terk etmek,Refugees had to flee their homes due to war.,Mülteciler savaş nedeniyle evlerini terk etmek (kaçmak) zorunda kaldılar.
Fleet,Filo,The company owns a fleet of delivery trucks.,Şirket bir teslimat kamyonu filosuna sahiptir.
Flexibility,Esneklik,Yoga improves your body's flexibility significantly.,Yoga vücudunuzun esnekliğini önemli ölçüde artırır.
Flicker,Titremek (Işık),The candle flame began to flicker in the wind.,Mum alevi rüzgarda titremeye başladı.
Fling,Fırlatmak/Savurmak,She angrily flung her coat onto the sofa.,Kızgınlıkla paltosunu kanepeye fırlattı.
Flock,Sürü (Kuş/Koyun),A flock of birds flew over the lake.,Bir kuş sürüsü gölün üzerinden uçtu.
Flourish,Gelişmek/Serpilmek,Plants flourish when they get enough water and sunlight.,Bitkiler yeterli su ve güneş ışığı aldıklarında gelişirler.
Fluctuate,Dalgalanmak,Oil prices fluctuate daily on the global market.,Petrol fiyatları küresel piyasada günlük olarak dalgalanır.
Fluency,Akıcılık,She speaks Spanish with remarkable fluency.,İspanyolcayı dikkate değer bir akıcılıkla konuşuyor.
Fluid,Sıvı/Akışkan,Drink plenty of fluids when you are sick.,Hastayken bol sıvı tüketin.
Foe,Düşman/Hasım,He fought bravely against his foe.,Düşmanına karşı cesurca savaştı.
Foil,Engellemek/Folyo,The police managed to foil the bank robbery attempt.,Polis banka soygunu girişimini engellemeyi başardı.
Forbid,Yasaklamak,My parents forbid me from staying out late.,Ailem geç saatlere kadar dışarıda kalmamı yasaklıyor.
Forecast,Tahmin (Hava/Ekonomi),The weather forecast predicts rain for tomorrow.,Hava durumu tahmini yarın için yağmur öngörüyor.
Foresee,Öngörmek,Nobody could foresee the outcome of the election.,Kimse seçimin sonucunu öngöremedi.
Forfeit,Hakkını kaybetmek/Ceza,If you cancel now you will forfeit your deposit.,Şimdi iptal ederseniz depozitonuzu kaybedersiniz.
Forge,Sahtesini yapmak/Dövmek (Demir),He tried to forge his father's signature on the check.,Çek üzerine babasının imzasını taklit etmeye (sahtesini yapmaya) çalıştı.
Format,Biçim/Format,Please submit the report in PDF format.,Lütfen raporu PDF biçiminde gönderin.
Formation,Oluşum/Biçimlenme,The formation of rocks took millions of years.,Kayaların oluşumu milyonlarca yıl sürdü.
Formidable,Ürkütücü/Zorlu,The team faced a formidable opponent in the final.,Takım finalde zorlu bir rakiple karşılaştı.
Formula,Formül,Scientists are looking for a formula to cure the disease.,Bilim insanları hastalığı iyileştirmek için bir formül arıyorlar.
Formulate,Formüle etmek/Oluşturmak,We need to formulate a new strategy for sales.,Satışlar için yeni bir strateji oluşturmamız gerekiyor.
Forthcoming,Yaklaşan/Gelecek,He wrote about it in his forthcoming book.,Yaklaşan kitabında bunun hakkında yazdı.
Fortnight,İki hafta (14 gün),We stayed in London for a fortnight.,Londra'da iki hafta kaldık.
Fortunate,Şanslı,I was fortunate enough to meet the president.,Başkanla tanışacak kadar şanslıydım.
Forum,Forum/Meydan,The internet provides a forum for public discussion.,İnternet kamusal tartışma için bir forum sağlar.
Fossil,Fosil,Fossil fuels are harmful to the environment.,Fosil yakıtlar çevreye zararlıdır.
Foster,Teşvik etmek/Büyütmek,We try to foster creativity in our students.,Öğrencilerimizde yaratıcılığı teşvik etmeye çalışıyoruz.
Fraction,Kesir/Küçük parça,Only a small fraction of the budget was used.,Bütçenin sadece küçük bir kısmı (kesiri) kullanıldı.
Fracture,Kırık/Çatlak,The X-ray showed a hairline fracture in his arm.,Röntgen kolunda ince bir kırık gösterdi.
Fragile,Kırılgan/Hassas,Handle the box with care it contains fragile items.,Kutuyu dikkatle taşıyın içinde kırılgan eşyalar var.
Fragment,Parça/Kırıntı,Archaeologists found fragments of ancient pottery.,Arkeologlar antik çömlek parçaları buldular.
Framework,Çerçeve/İskelet,The agreement provides a framework for future cooperation.,Anlaşma gelecekteki işbirliği için bir çerçeve sağlıyor.
Franchise,Bayilik/İmtiyaz,He bought a fast-food franchise in the city center.,Şehir merkezinde bir fast-food bayiliği satın aldı.
Frank,Açık sözlü/Samimi,To be frank I don't like your new haircut.,Açık sözlü olmak gerekirse yeni saç kesimini beğenmedim.
Fraud,Dolandırıcılık/Sahtekarlık,He was sent to prison for credit card fraud.,Kredi kartı dolandırıcılığı nedeniyle hapse gönderildi.
Freak,Ucube/Anormal olay,The storm was a freak weather event.,Fırtına anormal bir hava olayıydı.
Frenzy,Çılgınlık/Histeri,The crowd went into a frenzy when the band appeared.,Grup göründüğünde kalabalık bir çılgınlığa kapıldı.
Frequency,Sıklık/Frekans,The frequency of accidents on this road is alarming.,Bu yoldaki kazaların sıklığı endişe verici.
Friction,Sürtünme/Anlaşmazlık,There is some friction between the two colleagues.,İki meslektaş arasında biraz sürtüşme (anlaşmazlık) var.
Frightening,Korkutucu,It was a frightening experience for everyone involved.,Dahil olan herkes için korkutucu bir deneyimdi.
Frontier,Sınır/Hudut,Space is often called the final frontier.,Uzay genellikle son sınır olarak adlandırılır.
Frost,Don/Kırağı,The ground was covered with white frost in the morning.,Sabah yer beyaz kırağı ile kaplıydı.
Frown,Kaşlarını çatmak,She frowned when she heard the bad news.,Kötü haberi duyduğunda kaşlarını çattı.
Fruitful,Verimli/Bereketli,We had a fruitful discussion about the project.,Proje hakkında verimli bir tartışma yaptık.
Frustrate,Hüsrana uğratmak,Technical problems frustrated our attempts to finish.,Teknik sorunlar bitirme girişimlerimizi hüsrana uğrattı.
Frustration,Hüsran/Hayal kırıklığı,He slammed the door in frustration.,Hüsran içinde kapıyı çarptı.
Fugitive,Kaçak,The fugitive was caught near the border.,Kaçak sınırın yakınında yakalandı.
Fulfill,Yerine getirmek/Gerçekleştirmek,He worked hard to fulfill his dreams.,Hayallerini gerçekleştirmek için çok çalıştı.
Fulfillment,Gerçekleşme/Doyum,Work gives him a sense of fulfillment.,İş ona bir doyum hissi veriyor.
Fumble,Beceriksizce tutmak,He fumbled with his keys in the dark.,Karanlıkta anahtarlarını beceriksizce aradı (tuttu).
Fume,Duman/Gaz,Toxic fumes filled the factory during the fire.,Yangın sırasında fabrikayı zehirli dumanlar doldurdu.
Functional,İşlevsel,The furniture is simple but functional.,Mobilya basit ama işlevsel.
Furious,Öfkeli/Kızgın,He was furious when he found out the truth.,Gerçeği öğrendiğinde öfkeden deliye döndü.
Furnish,Döşemek (Mobilya),They plan to furnish the apartment with modern items.,Daireyi modern eşyalarla döşemeyi planlıyorlar.
Furthermore,Ayrıca/Üstelik,The plan is too expensive furthermore it is risky.,Plan çok pahalı üstelik riskli.
Fury,Öfke/Hiddet,She shouted at him in a fit of fury.,Öfke nöbeti içinde ona bağırdı.
Fuse,Sigorta/Birleşmek,The fuse blew and the lights went out.,Sigorta attı ve ışıklar söndü.
Fuss,Yaygara/Telaş,Stop making a fuss about nothing.,Hiçbir şey için yaygara yapmayı bırak.
Futile,Beyhude/Nafile,It is futile to argue with him when he is angry.,Kızgınken onunla tartışmak beyhudedir.
English,Turkish,EnSample,TrSample
Gadget,Küçük cihaz,This kitchen gadget makes peeling vegetables very easy.,Bu mutfak aleti sebze soymayı çok kolaylaştırıyor.
Gamble,Kumar oynamak,He likes to gamble at the casino occasionally.,Ara sıra kumarhanede kumar oynamayı sever.
Garment,Giysi,This garment should be washed by hand only.,Bu giysi sadece elde yıkanmalıdır.
Gaze,Dik dik bakmak,She gazed out the window at the falling rain.,Pencereden yağan yağmura dik dik baktı.
Gender,Cinsiyet,Discrimination based on gender is illegal in this country.,Bu ülkede cinsiyete dayalı ayrımcılık yasa dışıdır.
Gene,Gen,Scientists have identified the gene responsible for the disease.,Bilim insanları hastalıktan sorumlu geni tanımladılar.
Generalize,Genelleme yapmak,You should not generalize about people based on appearance.,İnsanlar hakkında dış görünüşe göre genelleme yapmamalısınız.
Generic,Genel/Markasız,I bought the generic brand because it was cheaper.,Daha ucuz olduğu için markasız (genel) olanı aldım.
Generosity,Cömertlik,He is known for his generosity towards the poor.,Fakirlere karşı cömertliğiyle bilinir.
Genetic,Genetik,Eye color is determined by genetic factors.,Göz rengi genetik faktörler tarafından belirlenir.
Genius,Dahi,Einstein was a genius in the field of physics.,Einstein fizik alanında bir dahiydi.
Genre,Tür (Sanat),Science fiction is my favorite movie genre.,Bilim kurgu benim favori film türümdür.
Gesture,Jest/Mimik,He made a rude gesture with his hand.,Eliyle kaba bir hareket (jest) yaptı.
Gifted,Yetenekli/Üstün zekalı,She is a gifted musician who plays three instruments.,Üç enstrüman çalan yetenekli bir müzisyendir.
Gigantic,Devasa,A gigantic wave crashed against the shore.,Devasa bir dalga kıyıya çarptı.
Glare,Dik dik bakmak (Öfkeyle),He glared at me when I interrupted him.,Sözünü kestiğimde bana öfkeyle baktı.
Gleam,Parıltı,I saw a gleam of hope in her eyes.,Gözlerinde bir umut parıltısı gördüm.
Glide,Süzülmek,The eagle seemed to glide effortlessly through the air.,Kartal havada zahmetsizce süzülüyor gibiydi.
Glimpse,Anlık bakış,I caught a glimpse of him in the crowd.,Kalabalıkta onu anlık olarak gördüm.
Gloomy,Kasvetli/Hüzünlü,The weather was dark and gloomy all day.,Hava tüm gün karanlık ve kasvetliydi.
Glory,Şan/Şeref,He fought for the glory of his country.,Ülkesinin şanı için savaştı.
Glow,Parıldamak,The fireflies glow in the dark forest.,Ateş böcekleri karanlık ormanda parıldıyor.
Grace,Zarafet,She moved with the grace of a dancer.,Bir dansçının zarafetiyle hareket etti.
Gratitude,Minnettarlık,I want to express my deep gratitude for your help.,Yardımınız için derin minnettarlığımı ifade etmek istiyorum.
Grave,Mezar/Ciddi,He made a grave mistake by lying to the police.,Polise yalan söyleyerek ciddi bir hata yaptı.
Gravity,Yerçekimi/Ciddiyet,Gravity pulls objects towards the center of the earth.,Yerçekimi nesneleri dünyanın merkezine doğru çeker.
Greed,Açgözlülük,His greed for money destroyed his family relationships.,Paraya olan açgözlülüğü aile ilişkilerini mahvetti.
Grief,Keder/Yas,She was overcome with grief after her husband's death.,Kocasının ölümünden sonra kederden kahroldu.
Grim,Vahim/Somurtkan,The future looks grim for the failing company.,Batan şirket için gelecek vahim görünüyor.
Grip,Sıkıca tutmak,Hold the racket with a firm grip.,Raketi sıkı bir şekilde tutun.
Groan,İnlemek,The patient groaned in pain as he moved.,Hasta hareket ederken acı içinde inledi.
Gross,Brüt/İğrenç,His gross income is higher than his net income.,Brüt geliri net gelirinden yüksektir.
Guarantee,Garanti etmek,We guarantee satisfaction or your money back.,Memnuniyet garantisi veriyoruz yoksa paranız iade.
Guidance,Yol gösterme/Rehberlik,I need some guidance on how to solve this.,Bunu nasıl çözeceğim konusunda biraz rehberliğe ihtiyacım var.
Guideline,Yönerge/Kılavuz,Please follow the safety guidelines strictly.,Lütfen güvenlik yönergelerini sıkı bir şekilde takip edin.
Guilt,Suçluluk,He felt a deep sense of guilt for lying.,Yalan söylediği için derin bir suçluluk hissetti.
Habitat,Yaşam alanı,The panda's natural habitat is the bamboo forest.,Pandanın doğal yaşam alanı bambu ormanıdır.
Halt,Durdurmak,The soldiers were ordered to halt immediately.,Askerlere derhal durmaları emredildi.
Handicap,Engel/Dezavantaj,His lack of experience was a major handicap.,Tecrübe eksikliği büyük bir engeldi.
Harassment,Taciz,The company has a zero-tolerance policy for harassment.,Şirketin tacize karşı sıfır tolerans politikası vardır.
Harbor,Liman/Barındırmak,The ship entered the harbor at sunset.,Gemi gün batımında limana girdi.
Hardship,Zorluk/Sıkıntı,They faced many hardships during the war.,Savaş sırasında birçok zorlukla karşılaştılar.
Harsh,Sert/Acımasız,The punishment was too harsh for a small mistake.,Ceza küçük bir hata için çok sertti.
Harvest,Hasat,Farmers harvest their crops in the autumn.,Çiftçiler mahsullerini sonbaharda hasat ederler.
Hasten,Hızlandırmak,Artificial light can hasten the growth of plants.,Yapay ışık bitkilerin büyümesini hızlandırabilir.
Hazard,Tehlike/Risk,Smoking is a serious health hazard.,Sigara içmek ciddi bir sağlık tehlikesidir.
Hazardous,Tehlikeli,Chemical waste is hazardous to the environment.,Kimyasal atıklar çevre için tehlikelidir.
Headquarters,Genel merkez,The company's headquarters is located in London.,Şirketin genel merkezi Londra'da bulunmaktadır.
Heap,Yığın,There was a heap of clothes on the floor.,Yerde bir kıyafet yığını vardı.
Hectic,Yoğun/Telaşlı,I had a very hectic day at work today.,Bugün işte çok yoğun bir gün geçirdim.
Heir,Mirasçı,He is the sole heir to a large fortune.,Büyük bir servetin tek mirasçısıdır.
Heritage,Miras (Kültürel),We must preserve our cultural heritage for future generations.,Kültürel mirasımızı gelecek nesiller için korumalıyız.
Heroic,Kahramanca,The firefighters made a heroic effort to save the building.,İtfaiyeciler binayı kurtarmak için kahramanca bir çaba gösterdiler.
Hesitation,Tereddüt,He accepted the offer without any hesitation.,Teklifi hiç tereddüt etmeden kabul etti.
Hierarchy,Hiyerarşi,There is a strict hierarchy within the military.,Ordunun içinde katı bir hiyerarşi vardır.
Hijack,Kaçırmak (Uçak vb.),Terrorists tried to hijack the plane mid-flight.,Teröristler uçuşun ortasında uçağı kaçırmaya çalıştılar.
Hilarious,Çok komik,The movie was hilarious we laughed non-stop.,Film çok komikti durmadan güldük.
Hinder,Engel olmak,Bad weather hindered the rescue operation.,Kötü hava kurtarma operasyonuna engel oldu.
Hint,İpucu/İma etmek,He gave me a hint about the surprise party.,Sürpriz parti hakkında bana bir ipucu verdi.
Historian,Tarihçi,The historian wrote a book about the revolution.,Tarihçi devrim hakkında bir kitap yazdı.
Hoist,Yukarı çekmek/Kaldırmak,They hoisted the flag at sunrise.,Bayrağı gün doğumunda yukarı çektiler.
Homeless,Evsiz,The charity provides food for homeless people.,Hayır kurumu evsiz insanlar için yiyecek sağlıyor.
Honesty,Dürüstlük,Honesty is the best policy in any relationship.,Dürüstlük herhangi bir ilişkide en iyi politikadır.
Honorable,Onurlu/Saygıdeğer,It was an honorable decision to resign.,İstifa etmek onurlu bir karardı.
Horizontal,Yatay,Draw a horizontal line across the page.,Sayfa boyunca yatay bir çizgi çizin.
Hormone,Hormon,Adrenaline is a hormone produced under stress.,Adrenalin stres altında üretilen bir hormondur.
Hospitable,Misafirperver,The local people were very hospitable to us.,Yerel halk bize karşı çok misafirperverdi.
Hospitality,Misafirperverlik,Thank you for your warm hospitality.,Sıcak misafirperverliğiniz için teşekkür ederim.
Hostage,Rehine,The bank robbers held three people hostage.,Banka soyguncuları üç kişiyi rehine aldı.
Hostile,Düşmanca,The crowd became hostile towards the police.,Kalabalık polise karşı düşmanca bir tavır aldı.
Hostility,Düşmanlık,There is a long history of hostility between them.,Aralarında uzun bir düşmanlık geçmişi var.
Humanitarian,İnsani,The UN sent humanitarian aid to the war zone.,BM savaş bölgesine insani yardım gönderdi.
Humanity,İnsanlık,Crimes against humanity must be punished.,İnsanlığa karşı işlenen suçlar cezalandırılmalıdır.
Humble,Mütevazı,He remained humble despite his huge success.,Büyük başarısına rağmen mütevazı kaldı.
Humid,Nemli,The weather is hot and humid in the summer.,Yazın hava sıcak ve nemlidir.
Humiliate,Aşağılamak/Küçük düşürmek,The boss humiliated him in front of his colleagues.,Patron onu iş arkadaşlarının önünde aşağıladı.
Hurricane,Kasırga,The hurricane destroyed many houses along the coast.,Kasırga sahil boyunca birçok evi yıktı.
Hybrid,Hibrit/Melez,This car uses a hybrid engine to save fuel.,Bu araba yakıt tasarrufu için hibrit bir motor kullanır.
Hygiene,Hijyen,Good hygiene prevents the spread of diseases.,İyi hijyen hastalıkların yayılmasını önler.
Hypothesis,Hipotez,Scientists tested the hypothesis with several experiments.,Bilim insanları hipotezi birkaç deneyle test ettiler.
Icon,İkon/Simge,Click the icon to open the application.,Uygulamayı açmak için simgeye tıklayın.
Identical,Özdeş/Tıpatıp aynı,The two sisters wore identical dresses to the party.,İki kız kardeş partiye tıpatıp aynı elbiseleri giydiler.
Identification,Kimlik saptama,Please show some identification before entering.,Girmeden önce lütfen kimlik gösterin.
Ideology,İdeoloji,The two parties have very different political ideologies.,İki partinin çok farklı siyasi ideolojileri var.
Idiom,Deyim,It's raining cats and dogs is a common idiom.,'Bardaktan boşalırcasına yağmak' yaygın bir deyimdir.
Idle,Boş/Atıl,The factory machines have been idle for weeks.,Fabrika makineleri haftalardır boş (atıl) duruyor.
Ignorance,Cehalet/Bilgisizlik,Ignorance of the law is no excuse.,Kanunu bilmemek (cehalet) bir mazeret değildir.
Illusion,İlüzyon/Yanılsama,The magician created an illusion of flying.,Sihirbaz uçma ilüzyonu yarattı.
Illustration,İlüstrasyon/Resim,The book contains beautiful illustrations of birds.,Kitap kuşların güzel ilüstrasyonlarını içeriyor.
Imitate,Taklit etmek,Parrots can imitate human speech perfectly.,Papağanlar insan konuşmasını mükemmel bir şekilde taklit edebilir.
Immense,Muazzam/Çok büyük,They made an immense improvement in quality.,Kalitede muazzam bir iyileştirme yaptılar.
Immigration,Göç,The government is reviewing its immigration policy.,Hükümet göç politikasını gözden geçiriyor.
Imminent,Eli kulağında/Yakın,They are facing an imminent danger of attack.,Yakın bir saldırı tehlikesiyle karşı karşıyalar.
Immune,Bağışık,Some people are immune to this virus.,Bazı insanlar bu virüse karşı bağışıktır.
Impair,Bozmak/Zayıflatmak,Alcohol can impair your judgment and reaction time.,Alkol muhakemenizi ve tepki sürenizi bozabilir.
Impartial,Tarafsız,A judge must remain impartial during the trial.,Bir yargıç duruşma sırasında tarafsız kalmalıdır.
Implement,Uygulamak,We need to implement the new rules immediately.,Yeni kuralları derhal uygulamamız gerekiyor.
Implication,İma/Sonuç,The implications of this decision are very serious.,Bu kararın sonuçları (imaları) çok ciddidir.
English,Turkish,EnSample,TrSample
Impose,Uygulamak/Dayatmak,The government imposed a new tax on luxury goods.,Hükümet lüks mallara yeni bir vergi uyguladı.
Imprison,Hapse atmak,He was imprisoned for crimes he did not commit.,İşlemediği suçlar yüzünden hapse atıldı.
Incentive,Teşvik,Bonus payments offer an incentive to work harder.,Bonus ödemeleri daha sıkı çalışmak için bir teşvik sunar.
Incident,Olay (Nahoş),The police are investigating the incident at the bank.,Polis bankadaki olayı soruşturuyor.
Inclination,Eğilim/Meyil,He has a natural inclination towards music and art.,Müzik ve sanata karşı doğal bir eğilimi var.
Incorporate,Dahil etmek/Birleştirmek,We plan to incorporate your suggestions into the final design.,Önerilerinizi nihai tasarıma dahil etmeyi planlıyoruz.
Index,Dizin/Endeks,The stock market index fell by two percent today.,Borsa endeksi bugün yüzde iki düştü.
Indication,Gösterge/Belirti,There is no indication that the economy will improve soon.,Ekonominin yakında düzeleceğine dair bir gösterge yok.
Indigenous,Yerli,The indigenous people of this region have a rich culture.,Bu bölgenin yerli halkının zengin bir kültürü vardır.
Induce,Tetikoemek/İkna etmek,Nothing could induce me to change my mind.,Hiçbir şey beni fikrimi değiştirmeye ikna edemezdi.
Inevitable,Kaçınılmaz,Change is inevitable in a growing company.,Büyüyen bir şirkette değişim kaçınılmazdır.
Infant,Bebek,The clinic provides free healthcare for infants and mothers.,Klinik bebekler ve anneler için ücretsiz sağlık hizmeti sunmaktadır.
Infect,Bulaşmak/Enfekte etmek,The virus can infect both humans and animals.,Virüs hem insanlara hem de hayvanlara bulaşabilir.
Infer,Sonuç çıkarmak,What can we infer from the author's statement?,Yazarın ifadesinden ne sonuç çıkarabiliriz?
Inflation,Enflasyon,Rising inflation is reducing the purchasing power of citizens.,Artan enflasyon vatandaşların alım gücünü düşürüyor.
Inflict,Acı vermek/Uğratmak,They tried to inflict as much damage as possible.,Mümkün olduğunca çok zarar vermeye (zarara uğratmaya) çalıştılar.
Influence,Etki/Nüfuz,His teacher had a profound influence on his career choice.,Öğretmeninin kariyer seçimi üzerinde derin bir etkisi vardı.
Inherent,Doğal/Özünde var olan,There are inherent risks in investing in the stock market.,Borsaya yatırım yapmanın özünde var olan riskler vardır.
Inhibit,Engellemek/Ket vurmak,Fear can inhibit people from expressing their true feelings.,Korku insanların gerçek duygularını ifade etmelerini engelleyebilir.
Initial,İlk/Başlangıç,My initial reaction was one of surprise and disbelief.,İlk tepkim şaşkınlık ve inançsızlıktı.
Initiative,Girişim/İnisiyatif,We need someone who can take the initiative on this project.,Bu projede inisiyatif alabilecek birine ihtiyacımız var.
Injure,Yaralamak,He was seriously injured in a car accident yesterday.,Dün bir trafik kazasında ağır yaralandı.
Innovation,İnovasyon/Yenilik,Innovation is key to survival in the tech industry.,İnovasyon teknoloji endüstrisinde hayatta kalmanın anahtarıdır.
Input,Girdi/Katkı,I value your input on this important decision.,Bu önemli karardaki katkınıza değer veriyorum.
Inquiry,Soruşturma/Sorgu,The committee launched an official inquiry into the matter.,Komite konuyla ilgili resmi bir soruşturma başlattı.
Insight,İçgörü/Kavrayış,The book offers fascinating insight into Roman history.,Kitap Roma tarihi hakkında büyüleyici bir içgörü sunuyor.
Inspect,Denetlemek/İncelemek,Officials inspect the factory regularly for safety compliance.,Yetkililer fabrikayı güvenlik uyumu açısından düzenli olarak denetler.
Inspiration,İlham,Nature has always been a great source of inspiration for artists.,Doğa sanatçılar için her zaman büyük bir ilham kaynağı olmuştur.
Install,Kurmak/Yüklemek,They will install the new heating system tomorrow.,Yeni ısıtma sistemini yarın kuracaklar.
Instinct,İçgüdü,Her motherly instinct told her that something was wrong.,Annelik içgüdüsü ona bir şeylerin yanlış olduğunu söyledi.
Institute,Enstitü/Kurmak,The research institute is funded by the government.,Araştırma enstitüsü hükümet tarafından finanse edilmektedir.
Instruct,Talimat vermek,The manager instructed the staff to stay late.,Müdür personele geç kalmaları talimatını verdi.
Insult,Hakaret etmek,I did not mean to insult you with my comment.,Yorumumla size hakaret etmek istemedim.
Insurance,Sigorta,Do you have health insurance coverage for your family?,Aileniz için sağlık sigortası kapsamınız var mı?
Integral,Ayrılmaz/Bütünleyici,Trust is an integral part of any good relationship.,Güven her iyi ilişkinin ayrılmaz bir parçasıdır.
Integrate,Bütünleştirmek/Entegre etmek,We need to integrate the new software with existing systems.,Yeni yazılımı mevcut sistemlerle entegre etmemiz gerekiyor.
Integrity,Dürüstlük/Bütünlük,He is a man of great integrity and moral character.,O büyük bir dürüstlük ve ahlaki karaktere sahip bir adamdır.
Intense,Yoğun/Şiddetli,The competition for the job was extremely intense.,İş için rekabet son derece yoğundu.
Interact,Etkileşime girmek,Children need to interact with others to develop social skills.,Çocukların sosyal beceriler geliştirmek için başkalarıyla etkileşime girmesi gerekir.
Interfere,Müdahale etmek,Don't let personal problems interfere with your work.,Kişisel sorunların işinize müdahale etmesine izin vermeyin.
Interim,Geçici,He was appointed as the interim manager until a replacement is found.,Yerine biri bulunana kadar geçici müdür olarak atandı.
Internal,Dahili/İç,We conducted an internal audit of the company's finances.,Şirketin mali durumunun dahili bir denetimini yaptık.
Interpret,Yorumlamak/Çevirmek,How do you interpret the results of this survey?,Bu anketin sonuçlarını nasıl yorumluyorsunuz?
Interval,Aralık,The trains run at ten-minute intervals during rush hour.,Trenler yoğun saatlerde on dakikalık aralıklarla çalışır.
Intervene,Araya girmek,The police had to intervene to stop the fight.,Polis kavgayı durdurmak için araya girmek zorunda kaldı.
Intimate,Samimi/Yakın,They shared an intimate dinner in a quiet restaurant.,Sessiz bir restoranda samimi bir akşam yemeği paylaştılar.
Invade,İstila etmek,The army prepared to invade the enemy territory.,Ordu düşman topraklarını istila etmeye hazırlandı.
Invent,İcat etmek,Who was the first person to invent the telephone?,Telefonu icat eden ilk kişi kimdi?
Invest,Yatırım yapmak,It is wise to invest money in renewable energy.,Yenilenebilir enerjiye para yatırmak akıllıcadır.
Investigate,Soruşturmak/Araştırmak,Detectives are investigating the cause of the fire.,Dedektifler yangının nedenini soruşturuyorlar.
Investment,Yatırım,Buying a house is a significant financial investment.,Ev almak önemli bir finansal yatırımdır.
Involve,İçermek/Kapsamak,The project will involve people from several different departments.,Proje birkaç farklı departmandan insanları kapsayacak.
Irony,İroni,The irony is that he made a mistake while correcting others.,İroni şu ki başkalarını düzeltirken kendisi bir hata yaptı.
Isolate,İzole etmek/Soyutlamak,Patients with contagious diseases must be isolated.,Bulaşıcı hastalıkları olan hastalar izole edilmelidir.
Issue,Sorun/Sayı (Dergi),Climate change is a global issue that affects everyone.,İklim değişikliği herkesi etkileyen küresel bir sorundur.
Jail,Hapis,The thief was sentenced to five years in jail.,Hırsız beş yıl hapis cezasına çarptırıldı.
Joint,Ortak/Eklem,They opened a joint bank account after getting married.,Evlendikten sonra ortak bir banka hesabı açtılar.
Journal,Günlük/Akademik dergi,She writes in her journal every night before bed.,Her gece yatmadan önce günlüğüne yazar.
Journalist,Gazeteci,The journalist interviewed the prime minister yesterday.,Gazeteci dün başbakanla röportaj yaptı.
Journey,Yolculuk,Life is a journey not a destination.,Hayat bir varış noktası değil bir yolculuktur.
Judge,Yargıç/Yargılamak,Don't judge a book by its cover.,Bir kitabı kapağına göre yargılama.
Judgment,Yargı/Karar,I trust your judgment in this matter completely.,Bu konuda yargına (kararına) tamamen güveniyorum.
Judicial,Adli/Yargısal,The judicial system ensures that laws are followed.,Adli sistem yasaların takip edilmesini sağlar.
Jury,Jüri,The jury reached a verdict after two days.,Jüri iki gün sonra bir karara vardı.
Justice,Adalet,Everyone deserves equal justice under the law.,Herkes yasalar önünde eşit adaleti hak eder.
Justify,Haklı çıkarmak,You cannot justify violence under any circumstances.,Şiddeti hiçbir koşulda haklı çıkaramazsınız.
Keen,İstekli/Keskin,She is very keen on learning new languages.,Yeni diller öğrenmeye çok istekli.
Kidney,Böbrek,He donated a kidney to his sick brother.,Hasta kardeşine bir böbrek bağışladı.
