Personnel,Personel,Medical personnel.,Tıbbi personel.
Perspective,Bakış açısı,New perspective.,Yeni bakış açısı.
Persuade,İkna etmek,Persuade him to go.,Onu gitmeye ikna et.
Phase,Evre/Faz,First phase.,İlk evre.
Phenomenon,Fenomen/Olay,Natural phenomenon.,Doğa olayı.
Philosophy,Felsefe,Greek philosophy.,Yunan felsefesi.
Physical,Fiziksel,Physical exercise.,Fiziksel egzersiz.
Pile,Yığın,Pile of books.,Kitap yığını.
Pipe,Boru,Water pipe.,Su borusu.
Pitch,Saha/Perde (Ses),Football pitch.,Futbol sahası.
Planet,Gezegen,Red planet.,Kızıl gezegen.
Planning,Planlama,Urban planning.,Şehir planlama.
Platform,Platform/Peron,Train platform.,Tren peronu.
Pleasant,Hoş/Keyifli,Pleasant surprise.,Hoş sürpriz.
Pleased,Memnun,Pleased to meet you.,Tanıştığımıza memnun oldum.
Pleasure,Zevk,My pleasure.,Zevkle (Rica ederim).
Plenty,Bol,Plenty of time.,Bol zaman.
Plot,Konu (Hikaye)/Arsa,Movie plot.,Film konusu.
Poem,Şiir,Write a poem.,Şiir yaz.
Poet,Şair,Famous poet.,Ünlü şair.
Poetry,Şiir sanatı,Modern poetry.,Modern şiir.
Pointed,Sivri,Pointed shoes.,Sivri ayakkabı.
Poison,Zehir,Rat poison.,Fare zehri.
Policy,Politika (Kural),Company policy.,Şirket politikası.
Polite,Kibar,Be polite.,Kibar ol.
Political,Siyasi,Political party.,Siyasi parti.
Politician,Politikacı,Corrupt politician.,Yozlaşmış politikacı.
Politics,Siyaset,Talk about politics.,Siyaset hakkında konuşmak.
Pollution,Kirlilik,Air pollution.,Hava kirliliği.
Popular,Popüler,Popular song.,Popüler şarkı.
Population,Nüfus,World population.,Dünya nüfusu.
Port,Liman,Sea port.,Deniz limanı.
Pose,Poz vermek/Teşkil etmek,Pose a threat.,Tehdit oluşturmak.
Position,Konum/Pozisyon,Sitting position.,Oturma pozisyonu.
Positive,Pozitif,Positive attitude.,Pozitif tutum.
Possess,Sahip olmak,Possess a weapon.,Silah sahibi olmak.
Possession,Sahiplik/Eşya,Personal possessions.,Kişisel eşyalar.
Possibility,Olasılık,There is a possibility.,Bir olasılık var.
Potential,Potansiyel,Full potential.,Tam potansiyel.
Poverty,Yoksulluk,Live in poverty.,Yoksulluk içinde yaşamak.
Powder,Toz/Pudra,Baking powder.,Kabartma tozu.
Powerful,Güçlü,Powerful engine.,Güçlü motor.
Practical,Pratik,Practical advice.,Pratik tavsiye.
Praise,Övmek,Praise the Lord.,Tanrı'ya şükürler olsun.
Prayer,Dua,Morning prayer.,Sabah duası.
Precise,Kesin/Hassas,Precise measurement.,Hassas ölçüm.
Predict,Tahmin etmek,Predict the future.,Geleceği tahmin etmek.
Prediction,Tahmin,Weather prediction.,Hava tahmini.
Preference,Tercih,Personal preference.,Kişisel tercih.
Pregnant,Hamile,Pregnant woman.,Hamile kadın.
Premise,Öncül/Mülk (Premises),Business premises.,İş yeri mülkü.
Preparation,Hazırlık,Exam preparation.,Sınav hazırlığı.
Presence,Varlık,Your presence is requested.,Varlığınız isteniyor.
Presentation,Sunum,Give a presentation.,Sunum yapmak.
Preserve,Korunmak,Preserve nature.,Doğayı korumak.
Pressure,Basınç/Baskı,Under pressure.,Baskı altında.
Presumably,Muhtemelen,Presumably he is late.,Muhtemelen geç kaldı.
Pretend,Gibi yapmak,Pretend to be asleep.,Uyuyor gibi yapmak.
Previous,Önceki,Previous page.,Önceki sayfa.
Pride,Gurur,Take pride in.,Gurur duymak.
Priest,Rahip,Parish priest.,Bölge rahibi.
Primary,Birincil/İlkel,Primary school.,İlkokul.
Prime,Baş/Birinci,Prime Minister.,Başbakan.
Principal,Müdür (Okul)/Asıl,School principal.,Okul müdürü.
Principle,Prensip/İlke,Basic principle.,Temel ilke.
Priority,Öncelik,Top priority.,En yüksek öncelik.
Prisoner,Mahkum,War prisoner.,Savaş esiri.
Privacy,Gizlilik,Respect privacy.,Gizliliğe saygı duy.
Private,Özel,Private property.,Özel mülk.
Probable,Olası,Probable cause.,Olası neden.
Procedure,Prosedür,Standard procedure.,Standart prosedür.
Proceed,İlerlemek/Devam etmek,Proceed to the gate.,Kapıya ilerleyin.
Process,Süreç,Manufacturing process.,Üretim süreci.
Produce,Üretmek,Produce cars.,Araba üretmek.
Producer,Yapımcı/Üretici,Music producer.,Müzik yapımcısı.
Product,Ürün,New product.,Yeni ürün.
Production,Üretim,Mass production.,Seri üretim.
Profession,Meslek (Uzmanlık),Medical profession.,Tıp mesleği.
Professional,Profesyonel,Professional player.,Profesyonel oyuncu.
Professor,Profesör,University professor.,Üniversite profesörü.
Profile,Profil,User profile.,Kullanıcı profili.
Profit,Kar,Net profit.,Net kar.
Progress,İlerleme,Make progress.,İlerleme kaydetmek.
Project,Proje,School project.,Okul projesi.
Prominent,Öne çıkan/Belirgin,Prominent figure.,Öne çıkan figür.
Promise,Söz vermek,I promise.,Söz veriyorum.
Promote,Terfi ettirmek/Tanıtmak,Promote a product.,Bir ürünü tanıtmak.
Promotion,Terfi/Tanıtım,Get a promotion.,Terfi almak.
Prompt,Çabuk/Hemen,Prompt reply.,Hızlı cevap.
Pronounce,Telaffuz etmek,Pronounce the word.,Kelimeyi telaffuz et.
Pronunciation,Telaffuz,Correct pronunciation.,Doğru telaffuz.
Proof,Kanıt,No proof.,Kanıt yok.
Proper,Uygun/Düzgün,Proper behavior.,Uygun davranış.
Property,Mülk/Özellik,Private property.,Özel mülk.
Proportion,Oran/Orantı,High proportion.,Yüksek oran.
Proposal,Teklif,Marriage proposal.,Evlilik teklifi.
Propose,Önermek/Teklif etmek,Propose a plan.,Plan önermek.
Prospect,Olasılık/Beklenti,Future prospect.,Gelecek beklentisi.
Protection,Koruma,Protection from sun.,Güneşten koruma.
Protest,Protesto,Peaceful protest.,Barışçıl protesto.
Proud,Gururlu,I am proud of you.,Seninle gurur duyuyorum.
Provide,Sağlamak,Provide food.,Yiyecek sağlamak.
Provided,Şartıyla,Provided that.,Şartıyla (Eğer).
Provider,Sağlayıcı,Internet provider.,İnternet sağlayıcısı.
Province,İl/Eyalet,Eastern province.,Doğu ili.
Provision,Hüküm/Temin,Provision of services.,Hizmet temini.
Psychological,Psikolojik,Psychological effect.,Psikolojik etki.
Psychologist,Psikolog,Visit a psychologist.,Psikoloğa gitmek.
Psychology,Psikoloji,Child psychology.,Çocuk psikolojisi.
Publication,Yayın,Scientific publication.,Bilimsel yayın.
Publicity,Tanıtım/Reklam,Bad publicity.,Kötü reklam.
Publish,Yayınlamak,Publish a book.,Kitap yayınlamak.
Publisher,Yayıncı,Book publisher.,Kitap yayıncısı.
Pulse,Nabız,Check the pulse.,Nabzı kontrol et.
Pump,Pompa,Water pump.,Su pompası.
Punishment,Ceza,Severe punishment.,Ağır ceza.
Purchase,Satın almak,Make a purchase.,Satın alma işlemi yap.
Pure,Saf,Pure water.,Saf su.
Purpose,Amaç,Main purpose.,Ana amaç.
Pursue,Peşinden gitmek,Pursue a career.,Kariyer peşinde koşmak.
English,Turkish,EnSample,TrSample
Qualification,Nitelik/Vasıf,Job qualification.,İş niteliği.
Qualified,Nitelikli,Qualified teacher.,Nitelikli öğretmen.
Quality,Kalite,High quality.,Yüksek kalite.
Quantity,Miktar,Quantity over quality.,Kaliteden çok miktar.
Quarter,Çeyrek,Quarter past three.,Üçü çeyrek geçiyor.
Question,Sorgulamak (Fiil),Police questioned him.,Polis onu sorguladı.
Quickly,Hızlıca,Act quickly.,Hızlıca hareket et.
Quit,Bırakmak/İstifa etmek,Quit smoking.,Sigarayı bırak.
Quote,Alıntı yapmak,Quote a poem.,Bir şiirden alıntı yap.
Race,Irk/Yarış,Human race.,İnsan ırkı.
Radiation,Radyasyon,Radiation leak.,Radyasyon sızıntısı.
Radical,Radikal/Köklü,Radical change.,Köklü değişim.
Raise,Artırmak/Yükseltmek,Raise your hand.,Elini kaldır.
Range,Aralık/Menzil,Price range.,Fiyat aralığı.
Rapid,Hızlı/Ani,Rapid growth.,Hızlı büyüme.
Rare,Nadir,Rare disease.,Nadir hastalık.
Rate,Oran,Interest rate.,Faiz oranı.
Reaction,Tepki/Reaksiyon,Chemical reaction.,Kimyasal reaksiyon.
Reality,Gerçeklik,Face reality.,Gerçekle yüzleş.
Realize,Fark etmek,I realized my mistake.,Hatamı fark ettim.
Reasonable,Makul,Reasonable price.,Makul fiyat.
Recall,Hatırlamak/Geri çağırmak,I can't recall his name.,Adını hatırlayamıyorum.
Receipt,Fiş/Makbuz,Keep the receipt.,Fişi sakla.
Receive,Almak,Receive a letter.,Mektup almak.
Recent,Son/Yakın zamanlı,Recent events.,Son olaylar.
Reception,Resepsiyon,Wedding reception.,Düğün resepsiyonu.
Recognize,Tanımak,I didn't recognize you.,Seni tanıyamadım.
Recommend,Tavsiye etmek,I recommend this book.,Bu kitabı tavsiye ederim.
Recommendation,Tavsiye,Letter of recommendation.,Tavsiye mektubu.
Record,Kaydetmek/Rekor,Record a video.,Video kaydetmek.
Recover,İyileşmek/Kurtarmak,Recover from illness.,Hastalıktan iyileşmek.
Reduce,Azaltmak,Reduce waste.,Atığı azaltmak.
Reduction,Azalma,Reduction in price.,Fiyatta azalma.
Refer,Atıfta bulunmak,Refer to the map.,Haritaya bak (atıfta bulun).
Reference,Referans,Reference book.,Referans kitabı.
Reflect,Yansıtmak,Mirrors reflect light.,Aynalar ışığı yansıtır.
Reform,Reform,Economic reform.,Ekonomik reform.
Refuse,Reddetmek,Refuse an offer.,Teklifi reddetmek.
Regard,Saymak/Bakmak,Highly regarded.,Çok saygı duyulan.
Region,Bölge,Coastal region.,Kıyı bölgesi.
Regional,Bölgesel,Regional manager.,Bölge müdürü.
Register,Kaydolmak,Register for a course.,Kursa kaydolmak.
Regret,Pişman olmak,I regret nothing.,Hiçbir şeyden pişman değilim.
Regular,Düzenli,Regular exercise.,Düzenli egzersiz.
Regulation,Düzenleme/Yönetmelik,Safety regulations.,Güvenlik yönetmelikleri.
Reject,Reddetmek,Reject the plan.,Planı reddetmek.
Relate,İlişkilendirmek,Relate to the topic.,Konuyla ilişkilendirmek.
Relation,İlişki,International relations.,Uluslararası ilişkiler.
Relationship,İlişki/Bağ,Strong relationship.,Güçlü ilişki.
Relative,Akraba/Göreceli,Close relative.,Yakın akraba.
Relax,Rahatlamak,Relax and enjoy.,Rahatla ve keyfini çıkar.
Release,Serbest bırakmak,Release the prisoner.,Mahkumu serbest bırak.
Relevant,İlgili/Alakalı,Relevant information.,İlgili bilgi.
Reliable,Güvenilir,Reliable source.,Güvenilir kaynak.
Relief,Rahatlama,Sigh of relief.,Rahatlama nefesi.
Religion,Din,Freedom of religion.,Din özgürlüğü.
Rely,Güvenmek,Rely on friends.,Arkadaşlara güvenmek.
Remain,Kalmak (Durum),Remain silent.,Sessiz kalmak.
Remarkable,Dikkat çekici,Remarkable achievement.,Dikkat çekici başarı.
Remind,Hatırlatmak,Remind me later.,Bana sonra hatırlat.
Remote,Uzak,Remote control.,Uzaktan kumanda.
Remove,Kaldırmak,Remove the battery.,Pili çıkar (kaldır).
Rent,Kiralamak,Rent a house.,Ev kiralamak.
Repair,Tamir etmek,Repair the car.,Arabayı tamir et.
Repeat,Tekrarlamak,Repeat the question.,Soruyu tekrarla.
Replace,Değiştirmek/Yerine koymak,Replace the broken glass.,Kırık bardağı değiştir.
Reply,Cevap vermek,Reply to an email.,E-postaya cevap ver.
Report,Rapor etmek,Report a crime.,Suçu rapor et.
Represent,Temsil etmek,Represent the country.,Ülkeyi temsil et.
Representative,Temsilci,Sales representative.,Satış temsilcisi.
Reputation,İtibar/Ün,Good reputation.,İyi itibar.
Request,İstek/Talep,Make a request.,Talepte bulunmak.
Require,Gerektirmek,Require assistance.,Yardım gerektirmek.
Requirement,Gereksinim,Meet the requirements.,Gereksinimleri karşılamak.
Rescue,Kurtarmak,Rescue mission.,Kurtarma görevi.
Research,Araştırma,Scientific research.,Bilimsel araştırma.
Reservation,Rezervasyon,Make a reservation.,Rezervasyon yap.
Reserve,Ayırtmak,Reserve a table.,Masa ayırtmak.
Resident,Sakin (Bölge sakini),Local resident.,Yerel sakin.
Resist,Direnmek,Resist temptation.,Cazibeye direnmek.
Resolution,Çözünürlük/Karar,High resolution.,Yüksek çözünürlük.
Resolve,Çözmek (Sorun),Resolve a conflict.,Bir çatışmayı çözmek.
Resource,Kaynak,Natural resources.,Doğal kaynaklar.
Respect,Saygı,Show respect.,Saygı göster.
Respond,Yanıt vermek,Respond quickly.,Hızlı yanıt ver.
Response,Yanıt,No response.,Yanıt yok.
Responsibility,Sorumluluk,Take responsibility.,Sorumluluk al.
Responsible,Sorumlu,Responsible for the team.,Ekipten sorumlu.
Restore,Eski haline getirmek,Restore order.,Düzeni sağlamak (eski haline getirmek).
Restrict,Kısıtlamak,Restrict access.,Erişimi kısıtlamak.
Result,Sonuç,Test result.,Test sonucu.
Retain,Muhafaza etmek,Retain customers.,Müşterileri elde tutmak.
Retire,Emekli olmak,Retire at 65.,65 yaşında emekli olmak.
Reveal,Ortaya çıkarmak,Reveal the secret.,Sırrı ortaya çıkarmak.
Review,Gözden geçirmek/İnceleme,Book review.,Kitap incelemesi.
Revision,Gözden geçirme,Make revisions.,Düzeltmeler yapmak.
Revolution,Devrim,Industrial revolution.,Sanayi devrimi.
Reward,Ödül,Reward for hard work.,Sıkı çalışmanın ödülü.
Rhythm,Ritim,Rhythm of the music.,Müziğin ritmi.
Ridiculous,Gülünç/Saçma,Ridiculous idea.,Saçma fikir.
Risk,Risk,Take a risk.,Risk al.
Rival,Rakip,Main rival.,Ana rakip.
Role,Rol,Play a role.,Rol oynamak.
Route,Rota/Güzergah,Bus route.,Otobüs güzergahı.
Routine,Rutin,Daily routine.,Günlük rutin.
Royal,Kraliyet,Royal family.,Kraliyet ailesi.
Ruin,Mahvetmek,Ruin the surprise.,Sürprizi mahvetmek.
Rule,Kural/Yönetmek,Follow the rules.,Kurallara uy.
Rural,Kırsal,Rural area.,Kırsal bölge.
Rush,Acele etmek,Rush hour.,İş çıkış saati (Acele saati).
Safety,Güvenlik,Safety belt.,Emniyet kemeri.
Salary,Maaş,Monthly salary.,Aylık maaş.
Sample,Örnek/Numune,Free sample.,Ücretsiz numune.
Satisfaction,Memnuniyet,Customer satisfaction.,Müşteri memnuniyeti.
Satisfy,Memnun etmek,Satisfy needs.,İhtiyaçları karşılamak (memnun etmek).
Scale,Ölçek,Large scale.,Geniş ölçek.
Schedule,Program/Takvim,Busy schedule.,Yoğun program.
Scheme,Plan/Tasarı,Color scheme.,Renk şeması.
Scientific,Bilimsel,Scientific evidence.,Bilimsel kanıt.
Scope,Kapsam,Scope of the project.,Projenin kapsamı.
Score,Skor/Puan,Final score.,Son skor.
Screen,Ekran,Computer screen.,Bilgisayar ekranı.
Script,Senaryo,Movie script.,Film senaryosu.
Search,Aramak,Search for answers.,Cevapları aramak.
Secondary,İkincil,Secondary education.,Orta öğretim.
Secret,Sır,Top secret.,Çok gizli.
Secretary,Sekreter,General Secretary.,Genel Sekreter.
Section,Bölüm,Non-smoking section.,Sigara içilmeyen bölüm.
Sector,Sektör,Private sector.,Özel sektör.
Secure,Güvenli,Secure connection.,Güvenli bağlantı.
Security,Güvenlik,Security camera.,Güvenlik kamerası.
Seek,Aramak/Peşinde olmak,Seek advice.,Tavsiye aramak.
Select,Seçmek,Select an option.,Bir seçenek seç.
Selection,Seçim,Wide selection.,Geniş seçenek.
Senior,Kıdemli,Senior manager.,Kıdemli yönetici.
Sense,Duyu/Anlam,Sense of humor.,Mizah anlayışı.
Sensible,Mantıklı,Sensible decision.,Mantıklı karar.
Sensitive,Hassas,Sensitive skin.,Hassas cilt.
Separate,Ayırmak/Ayrı,Separate rooms.,Ayrı odalar.
Sequence,Sıra/Dizi,Sequence of events.,Olaylar dizisi.
Series,Dizi/Seri,TV series.,Televizyon dizisi.
Serious,Ciddi,Serious problem.,Ciddi sorun.
Servant,Hizmetçi,Civil servant.,Devlet memuru.
Serve,Hizmet etmek,Serve customers.,Müşterilere hizmet etmek.
Service,Hizmet,Customer service.,Müşteri hizmetleri.
Session,Oturum,Training session.,Eğitim oturumu.
Settle,Yerleşmek/Çözmek,Settle a dispute.,Bir anlaşmazlığı çözmek.
Severe,Şiddetli,Severe pain.,Şiddetli ağrı.
Shift,Vardiya/Değiştirmek,Night shift.,Gece vardiyası.
Shock,Şok,Culture shock.,Kültür şoku.
Shortage,Kıtlık/Eksiklik,Water shortage.,Su kıtlığı.
Significance,Önem/Anlam,Significance of the event.,Olayın önemi.
Significant,Önemli/Belirgin,Significant change.,Önemli değişiklik.
Silence,Sessizlik,Silence please.,Sessizlik lütfen.
Similar,Benzer,Similar interests.,Benzer ilgi alanları.
Simple,Basit,Simple solution.,Basit çözüm.
Site,Site/Alan,Construction site.,İnşaat alanı.
Situation,Durum,Difficult situation.,Zor durum.
Skill,Beceri,Communication skills.,İletişim becerileri.
Slight,Hafif,Slight difference.,Hafif fark.
Smart,Akıllı/Şık,Smart phone.,Akıllı telefon.
Smooth,Pürüzsüz,Smooth surface.,Pürüzsüz yüzey.
Social,Sosyal,Social media.,Sosyal medya.
Society,Toplum,Modern society.,Modern toplum.
Software,Yazılım,Computer software.,Bilgisayar yazılımı.
Soil,Toprak,Fertile soil.,Verimli toprak.
Solar,Güneş (ile ilgili),Solar energy.,Güneş enerjisi.
Solid,Katı/Sağlam,Solid rock.,Sert kaya.
Solution,Çözüm,Find a solution.,Bir çözüm bul.
Solve,Çözmek,Solve a problem.,Bir sorunu çözmek.
Source,Kaynak,Source of income.,Gelir kaynağı.
Specific,Özel/Belirli,Specific instructions.,Belirli talimatlar.
Specify,Belirtmek,Specify the date.,Tarihi belirt.
Speech,Konuşma,Give a speech.,Konuşma yapmak.
Speed,Hız,Speed limit.,Hız sınırı.
Spirit,Ruh,Team spirit.,Takım ruhu.
Stable,İstikrarlı/Sabit,Stable condition.,İstikrarlı durum.
Staff,Personel,Medical staff.,Tıbbi personel.
Stage,Sahne/Aşama,Early stage.,Erken aşama.
Standard,Standart,Standard of living.,Yaşam standardı.
State,Durum/Devlet,State of emergency.,Olağanüstü hal.
Statement,İfade/Beyan,Official statement.,Resmi beyan.
Status,Statü/Durum,Marital status.,Medeni hal.
Steady,Düzenli/Sabit,Steady job.,Düzenli iş.
Strategy,Strateji,Business strategy.,İş stratejisi.
Strength,Güç,Physical strength.,Fiziksel güç.
Stress,Stres,Under stress.,Stres altında.
Strict,Sıkı/Katı,Strict rules.,Sıkı kurallar.
Strike,Grev/Vurmak,Go on strike.,Greve gitmek.
Structure,Yapı,Social structure.,Sosyal yapı.
Struggle,Mücadele etmek,Struggle for freedom.,Özgürlük için mücadele etmek.
Studio,Stüdyo,Recording studio.,Kayıt stüdyosu.
Style,Stil/Tarz,Lifestyle.,Yaşam tarzı.
Subject,Konu/Özne,Subject of the email.,E-postanın konusu.
Submit,Teslim etmek/Sunmak,Submit an application.,Başvuru sunmak.
Substance,Madde,Toxic substance.,Zehirli madde.
Succeed,Başarmak,Succeed in business.,İşte başarılı olmak.
Success,Başarı,Key to success.,Başarının anahtarı.
Successful,Başarılı,Successful career.,Başarılı kariyer.
Sudden,Ani,Sudden change.,Ani değişiklik.
Suffer,Acı çekmek,Suffer from pain.,Ağrı çekmek.
Suggest,Önermek,Suggest a solution.,Bir çözüm önermek.
Suggestion,Öneri,Make a suggestion.,Bir öneride bulunmak.
Suitable,Uygun,Suitable for children.,Çocuklar için uygun.
Sum,Toplam,Sum of money.,Para toplamı.
Summary,Özet,Brief summary.,Kısa özet.
Supply,Tedarik etmek/Arz,Supply and demand.,Arz ve talep.
Support,Desteklemek,Support the team.,Takımı destekle.
Suppose,Varsaymak,I suppose so.,Sanırım öyle.
Surface,Yüzey,Water surface.,Su yüzeyi.
Surgery,Ameliyat,Heart surgery.,Kalp ameliyatı.
Surround,Çevrelemek,Surrounded by water.,Suyla çevrili.
Survey,Anket,Conduct a survey.,Anket yapmak.
Survive,Hayatta kalmak,Survive in the jungle.,Ormanda hayatta kalmak.
Suspect,Şüphelenmek/Şüpheli,Prime suspect.,Baş şüpheli.
Sustain,Sürdürmek,Sustain growth.,Büyümeyi sürdürmek.
Switch,Değiştirmek/Anahtar,Switch off the light.,Işığı kapat.
Symbol,Sembol,Symbol of peace.,Barış sembolü.
System,Sistem,Solar system.,Güneş sistemi.
Target,Hedef,Target audience.,Hedef kitle.
Task,Görev,Complete the task.,Görevi tamamla.
Technical,Teknik,Technical support.,Teknik destek.
Technique,Teknik,Teaching technique.,Öğretim tekniği.
Technology,Teknoloji,Modern technology.,Modern teknoloji.
Temporary,Geçici,Temporary job.,Geçici iş.
Tendency,Eğilim,Tendency to worry.,Endişelenme eğilimi.
Tension,Gerginlik,High tension.,Yüksek gerilim.
Term,Dönem/Terim,Long term.,Uzun dönem.
Territory,Bölge/Toprak,Enemy territory.,Düşman bölgesi.
Theme,Tema,Main theme.,Ana tema.
Theory,Teori,Theory of evolution.,Evrim teorisi.
Threat,Tehdit,Bomb threat.,Bomba tehdidi.
Threaten,Tehdit etmek,Threaten to leave.,Gitmekle tehdit etmek.
Title,Başlık,Book title.,Kitap başlığı.
Total,Toplam,Total cost.,Toplam maliyet.
Touch,Dokunmak/Temas,Keep in touch.,İletişimde kal.
Tough,Zor/Sert,Tough decision.,Zor karar.
Track,İzlemek/Pist,Track progress.,İlerlemeyi izlemek.
Trade,Ticaret,International trade.,Uluslararası ticaret.
Tradition,Gelenek,Family tradition.,Aile geleneği.
Traditional,Geleneksel,Traditional food.,Geleneksel yemek.
Traffic,Trafik,Traffic jam.,Trafik sıkışıklığı.
Transfer,Transfer etmek,Transfer money.,Para transfer etmek.
Transform,Dönüştürmek,Transform the room.,Odayı dönüştürmek.
Transition,Geçiş,Period of transition.,Geçiş dönemi.
Translate,Çevirmek,Translate to English.,İngilizceye çevir.
Transport,Ulaşım,Public transport.,Toplu taşıma.
Treat,Tedavi etmek/Davranmak,Treat patients.,Hastaları tedavi etmek.
Treatment,Tedavi,Medical treatment.,Tıbbi tedavi.
Trend,Eğilim/Trend,Fashion trend.,Moda trendi.
Trial,Duruşma/Deneme,Free trial.,Ücretsiz deneme.
Trick,Hile/Numara,Magic trick.,Sihirbazlık numarası.
Trip,Gezi,Business trip.,İş gezisi.
Troop,Birlik (Asker),Send troops.,Birlikler göndermek.
Trouble,Sorun/Bela,In trouble.,Başım dertte.
Trust,Güven,Trust me.,Bana güven.
Truth,Gerçek,Tell the truth.,Gerçeği söyle.
Typical,Tipik,Typical day.,Tipik bir gün.
Ultimate,Nihai/Son,Ultimate goal.,Nihai hedef.
Unable,Yapamayan,Unable to walk.,Yürüyemeyen.
Uncertainty,Belirsizlik,Period of uncertainty.,Belirsizlik dönemi.
Understanding,Anlayış,Mutual understanding.,Karşılıklı anlayış.
Unemployment,İşsizlik,Unemployment rate.,İşsizlik oranı.
Unexpected,Beklenmedik,Unexpected guest.,Beklenmedik misafir.
Unfair,Adil olmayan,Unfair advantage.,Adil olmayan avantaj.
Unfortunate,Talihsiz,Unfortunate event.,Talihsiz olay.
Union,Birlik/Sendika,European Union.,Avrupa Birliği.
Unique,Eşsiz,Unique opportunity.,Eşsiz fırsat.
Unit,Birim,Intensive care unit.,Yoğun bakım ünitesi.
Universal,Evrensel,Universal rights.,Evrensel haklar.
Universe,Evren,Origin of the universe.,Evrenin kökeni.
Unknown,Bilinmeyen,Unknown destination.,Bilinmeyen hedef.
Unless,Olmadıkça,Unless you try.,Sen denemedikçe.
Unlikely,Olası olmayan,Highly unlikely.,Çok düşük ihtimal.
Urban,Kentsel,Urban planning.,Şehir planlama.
Urgent,Acil,Urgent message.,Acil mesaj.
User,Kullanıcı,User friendly.,Kullanıcı dostu.
Valuable,Değerli,Valuable advice.,Değerli tavsiye.
Value,Değer,Value of money.,Paranın değeri.
Variation,Varyasyon/Çeşitlilik,Regional variation.,Bölgesel çeşitlilik.
Variety,Çeşitlilik,Variety of food.,Yiyecek çeşitliliği.
Various,Çeşitli,Various reasons.,Çeşitli sebepler.
Vary,Değişmek,Prices vary.,Fiyatlar değişir.
Vast,Geniş/Büyük,Vast area.,Geniş alan.
Vehicle,Araç,Motor vehicle.,Motorlu araç.
Version,Sürüm/Versiyon,Latest version.,Son sürüm.
Victim,Kurban,Accident victim.,Kaza kurbanı.
Victory,Zafer,Victory parade.,Zafer geçidi.
View,Görüş/Manzara,Point of view.,Bakış açısı.
Violence,Şiddet,Domestic violence.,Aile içi şiddet.
Violent,Şiddetli,Violent storm.,Şiddetli fırtına.
Virtual,Sanal,Virtual reality.,Sanal gerçeklik.
Vision,Vizyon/Görme,Blurred vision.,Bulanık görme.
Visual,Görsel,Visual arts.,Görsel sanatlar.
Vital,Hayati,Vital organs.,Hayati organlar.
Volume,Hacim/Ses,Turn up the volume.,Sesi aç.
Voluntary,Gönüllü,Voluntary work.,Gönüllü iş.
Volunteer,Gönüllü,Volunteer for charity.,Hayır kurumu için gönüllü ol.
Vote,Oy vermek,Vote for president.,Başkan için oy ver.
Wage,Ücret (Saatlik),Minimum wage.,Asgari ücret.
Wander,Gezinmek,Wander around.,Etrafta gezinmek.
Warning,Uyarı,Warning sign.,Uyarı işareti.
Waste,İsraf etmek/Atık,Don't waste time.,Zamanı boşa harcama.
Wealth,Servet,Health is wealth.,Sağlık servettir.
Weapon,Silah,Nuclear weapon.,Nükleer silah.
Web,Ağ/Web,World Wide Web.,Dünya Çapında Ağ.
Welfare,Refah,Social welfare.,Sosyal refah.
Whereas,Oysa/Halbuki,He is rich whereas I am poor.,O zengin oysa ben fakirim.
Whether,Olup olmadığını,I don't know whether to go.,Gidip gitmeyeceğimi bilmiyorum.
Wide,Geniş,Wide range.,Geniş aralık.
Widespread,Yaygın,Widespread belief.,Yaygın inanç.
Willing,İstekli,Willing to help.,Yardım etmeye istekli.
Wire,Tel/Kablo,Copper wire.,Bakır tel.
Wisdom,Bilgelik,Words of wisdom.,Bilgelik sözleri.
Witness,Tanık,Witness a crime.,Bir suça tanık olmak.
Wonder,Merak etmek/Harika,I wonder why.,Nedenini merak ediyorum.
Worth,Değer,It is worth it.,Buna değer.
Wound,Yara,Gunshot wound.,Kurşun yarası.
Zone,Bölge,Time zone.,Zaman dilimi.
